State,Y2021,Y2020,Y2019,Y2018,Y2017,Y2016,Y2015,Y2014,Y2013,Y2012,Y2011,Y2010,Y2009,Y2008,Y2007,Y2006,Y2005,Y2004,Y2003,Y2002,Y2001,Y2000,Y1999,Y1995,Y1990,,,,,,
Texas,1.4,1.5,2.1,2.6,2.2,2.6,2.6,2.7,2.9,3.0,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4.0,4.0,3.8,5.2,5.5,,,,,,
Utah,3.3,3.3,3.5,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4.0,4.1,4.2,4.3,4.0,4.4,5.1,,,,,,
Vermont,2.3,2.1,2.8,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4.0,4.2,4.3,4.1,4.4,4.7,4.5,,,,,,
Virginia,3.1,2.6,2.9,3.1,3.0,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4.0,4.0,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.4,,,,,,
Washington,2.9,2.8,2.8,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4.0,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5.0,5.4,5.9,,,,,,
West Virginia,2.9,3.1,3.6,3.3,3.5,3.8,4.0,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5.0,5.1,5.0,5.2,5.2,5.2,5.1,4.9,5.2,5.3,,,,,,
Wisconsin,2.1,2.0,2.3,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.4,3.6,,,,,,
Wyoming,3.7,3.8,3.8,3.8,4.0,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--- Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Includes annulments.  Includes divorce petitions filed or legal separations for some counties or States.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Rate for 2016 for Texas has been revised.  Rates for 2001-2009 have been revised and are based on intercensal population estimates from the 2000 and 2010 censuses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: CDC/NCHS, National Vital Statistics System.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
