city,state,age,dateMissing,state_code,city_code,cluster
MYRTLE POINT,OR,52,19860814,39,809,1
LYNWOOD,CA,21,20200122,5,698,0
GRETNA,NE,12,20200611,31,479,2
BUCKEYE,AZ,23,20181017,4,157,2
SELMA,OR,55,19880822,39,1122,1
SAN RAFAEL,CA,58,19730427,5,1090,1
OAKLAND,CA,21,20090810,5,876,0
VISTA,CA,19,20120715,5,1276,0
CASPER,WY,34,20040215,54,187,2
SANTA ANA,CA,82,19600803,5,1095,1
SACRAMENTO,CA,20,20080815,5,1052,0
TUCSON,AZ,45,19971127,4,1233,0
SAN BENITO,TX,22,20171120,46,1074,0
VIRGINIA BEACH,VA,62,19790605,48,1274,1
BELLEVUE,WA,15,20111106,51,86,2
BROKEN ARROW,OK,29,20120710,38,145,2
BRENTWOOD,MD,42,19930524,21,140,2
ATHENS,TX,30,20090827,46,53,2
TUCSON,AZ,39,20010818,4,1233,0
ATLANTA,GA,21,20171004,11,54,2
ANTIGO,WI,31,20090811,52,39,2
METAIRIE,LA,33,20080605,19,743,0
MIAMI,FL,62,19760830,10,746,1
ELOY,AZ,26,20010527,4,352,2
NEWPORT NEWS,VA,44,19801211,48,839,1
JACKSONVILLE,FL,62,19740801,10,563,1
JACKSONVILLE,FL,57,19740801,10,563,1
TOOELE,UT,35,20060221,47,1222,0
MILWAUKEE,WI,29,20020503,52,762,2
POMPANO BEACH,FL,23,20191221,10,960,0
PITTSBURGH,PA,40,19861004,40,950,1
BALMORHEA,TX,38,20031001,46,67,2
MODESTO,CA,33,20050116,5,772,0
EUGENE,OR,32,20091026,39,363,2
AUSTIN,TX,43,19840105,46,61,2
MIAMI,FL,5,20200128,10,746,0
OVERLAND,MO,69,19710501,25,905,1
SAN FRANCISCO,CA,32,20130206,5,1079,0
GILMER,TX,66,19740901,46,446,1
PENSACOLA,FL,54,19851231,10,932,1
ORLANDO,FL,24,20160814,10,898,0
WEST PALM BEACH,FL,19,20191019,10,1308,0
EL PASO,TX,52,19740909,46,345,1
CORPUS CHRISTI,TX,34,20051124,46,269,2
RENTON,WA,22,20190619,51,1007,0
HOUSTON,TX,55,19820901,46,541,1
ANNAPOLIS,MD,24,20170829,21,37,2
LA VERNE,CA,25,20170322,5,618,0
SYRACUSE,NY,58,19830222,36,1189,1
FALFURRIAS,TX,24,20120809,46,381,2
COLUMBIA,SC,21,20191101,43,254,2
EAST LIVERPOOL,OH,63,19790621,37,333,1
SILVER CITY,NM,33,20101031,34,1134,0
SUTTER CREEK,CA,22,20191008,5,1185,0
LOS ANGELES,CA,35,20060521,5,682,0
SAN ANTONIO,TX,40,19980717,46,1073,1
FULLERTON,CA,22,20191017,5,423,2
FULLERTON,CA,6,20191017,5,423,2
BUFFALO,NY,64,19770210,36,158,1
HOLLYWOOD,FL,34,20101014,10,531,2
SAN PEDRO,CA,11,20180929,5,1088,0
SAN PEDRO,CA,6,20180929,5,1088,0
PETALUMA,CA,68,19730423,5,939,1
FITCHBURG,MA,36,20040901,20,391,2
SOUTH EL MONTE,CA,11,20190206,5,1148,0
COLUMBUS,OH,42,20021231,37,256,2
DOBBS FERRY,NY,61,19810503,36,313,1
SAINT LOUIS,MO,77,19631101,25,1063,1
SYLVANIA,GA,52,19860530,11,1188,1
AURORA,CO,25,20160715,6,60,2
ANDERSON,CA,10,20150702,5,33,2
FULLERTON,CA,24,20180624,5,423,2
MISSION,TX,27,20010809,46,765,2
PORTLAND,ME,69,19710924,22,970,1
