city,state,missing_kids,avg_age,avg_risk,num_hospitals,num_firestations,num_police,lat,lng,cluster
BRYAN                    ,TX,1,62.0,0.0,0.0,0.0,0.0,,,0
BRYANT                   ,AR,1,21.0,0.0,0.0,0.0,0.0,,,1
BUCKATUNNA               ,MS,1,18.0,0.0,0.0,0.0,0.0,,,1
BUCKEYE                  ,AZ,3,18.0,0.0,0.0,0.0,0.0,,,1
BUFFALO                  ,NY,3,32.333333333333336,0.0,0.0,0.0,0.0,,,1
BUFFALO GROVE            ,IL,1,35.0,0.0,0.0,0.0,0.0,,,1
BUFORD                   ,GA,1,16.0,0.0,0.0,0.0,0.0,,,1
BULLHEAD CITY            ,AZ,2,45.5,0.0,0.0,0.0,0.0,,,0
BURBANK                  ,CA,1,35.0,0.0,0.0,0.0,0.0,,,1
BURIEN                   ,WA,3,40.333333333333336,0.0,0.0,0.0,0.0,,,0
BURKE                    ,VA,1,19.0,0.0,0.0,0.0,0.0,,,1
BURLESON                 ,TX,1,36.0,0.0,0.0,0.0,0.0,,,0
BURLINGTON               ,NJ,1,65.0,0.0,0.0,0.0,0.0,,,0
BURLINGTON               ,VT,1,62.0,0.0,0.0,0.0,0.0,,,0
BUTLER                   ,AL,1,18.0,0.0,0.0,0.0,0.0,,,1
CABOT                    ,PA,1,48.0,0.0,0.0,0.0,0.0,,,0
CALDWELL                 ,ID,1,15.0,0.0,0.0,0.0,0.0,,,1
CALDWELL                 ,NJ,1,17.0,0.0,0.0,0.0,0.0,,,1
CALIFORNIA CITY          ,CA,2,7.5,0.0,0.0,0.0,0.0,,,1
CALUMET CITY             ,IL,1,16.0,0.0,0.0,0.0,0.0,,,1
CALVIN                   ,WV,1,22.0,0.0,0.0,0.0,0.0,,,1
CAMDEN                   ,MS,1,13.0,0.0,0.0,0.0,0.0,,,1
CAMDEN                   ,NJ,1,66.0,0.0,0.0,0.0,0.0,,,0
CAMP LEJEUNE             ,NC,2,67.0,0.0,0.0,0.0,0.0,,,0
CAMP PENDLETON           ,CA,1,26.0,0.0,0.0,0.0,0.0,,,1
CAMPBELLSPORT            ,WI,1,47.0,0.0,0.0,0.0,0.0,,,0
CANOGA PARK              ,CA,1,24.0,0.0,0.0,0.0,0.0,,,1
CANTON                   ,GA,1,17.0,0.0,0.0,0.0,0.0,,,1
CANTON                   ,MI,1,59.0,0.0,0.0,0.0,0.0,,,0
CANTON                   ,MS,5,15.2,0.0,0.0,0.0,0.0,,,1
CANTON                   ,TX,1,14.0,0.0,0.0,0.0,0.0,,,1
CANTONMENT               ,FL,1,37.0,0.0,0.0,0.0,0.0,,,0
CANYON                   ,TX,2,30.5,0.0,0.0,0.0,0.0,,,1
CAPE GIRARDEAU           ,MO,1,62.0,0.0,0.0,0.0,0.0,,,0
CARLETON                 ,MI,1,17.0,0.0,0.0,0.0,0.0,,,1
CAROLINA BEACH           ,NC,1,34.0,0.0,0.0,0.0,0.0,,,1
CARSON                   ,CA,1,50.0,0.0,0.0,0.0,0.0,,,0
CARSON CITY              ,NV,1,17.0,0.0,0.0,0.0,0.0,,,1
CARUTHERSVILLE           ,MO,1,16.0,0.0,0.0,0.0,0.0,,,1
CASPER                   ,WY,1,34.0,0.0,0.0,0.0,0.0,,,1
CASTAIC                  ,CA,1,30.0,0.0,0.0,0.0,0.0,,,1
CASTRO VALLEY            ,CA,1,17.0,0.0,0.0,0.0,0.0,,,1
CATAWBA                  ,SC,1,62.0,0.0,0.0,0.0,0.0,,,0
CATONSVILLE              ,MD,2,15.0,0.0,0.0,0.0,0.0,,,1
CEDAR CITY               ,UT,3,15.666666666666666,0.0,0.0,0.0,0.0,,,1
CEDAR RAPIDS             ,IA,1,38.0,0.0,0.0,0.0,0.0,,,0
CEDAR SPRINGS            ,MI,1,28.0,0.0,0.0,0.0,0.0,,,1
CEDAREDGE                ,CO,1,62.0,0.0,0.0,0.0,0.0,,,0
CEDARTOWN                ,GA,1,13.0,0.0,0.0,0.0,0.0,,,1
CEIBA                    ,PR,1,30.0,0.0,0.0,0.0,0.0,,,1
CENTER                   ,TX,1,43.0,0.0,0.0,0.0,0.0,,,0
CENTRAL ISLIP            ,NY,2,19.5,0.0,0.0,0.0,0.0,,,1
CENTRALIA                ,IL,4,25.25,0.0,0.0,0.0,0.0,,,1
CENTRALIA                ,WA,1,16.0,0.0,0.0,0.0,0.0,,,1
CENTREVILLE              ,MS,2,35.5,0.0,0.0,0.0,0.0,,,1
CHAIN OF PONDS TOWNSHIP  ,ME,1,53.0,0.0,0.0,0.0,0.0,,,0
CHALLIS                  ,ID,1,40.0,0.0,0.0,0.0,0.0,,,0
CHAMA                    ,NM,1,57.0,0.0,0.0,0.0,0.0,,,0
CHAMPAIGN                ,IL,5,16.0,0.0,0.0,0.0,0.0,,,1
CHANDLER                 ,AZ,2,15.5,0.0,0.0,0.0,0.0,,,1
CHANNELVIEW              ,TX,1,22.0,0.0,0.0,0.0,0.0,,,1
CHAPARRAL                ,NM,1,52.0,0.0,0.0,0.0,0.0,,,0
CHARDON                  ,OH,1,17.0,0.0,0.0,0.0,0.0,,,1
CHARLESTON               ,SC,3,36.0,0.0,0.0,0.0,0.0,,,1
CHARLESTON               ,WV,2,17.0,0.0,0.0,0.0,0.0,,,1
CHARLOTTE                ,NC,9,17.444444444444443,0.0,0.0,0.0,0.0,,,1
CHARLOTTESVILLE          ,VA,2,35.0,0.0,0.0,0.0,0.0,,,1
CHARMCO                  ,WV,1,17.0,0.0,0.0,0.0,0.0,,,1
CHATSWORTH               ,CA,1,37.0,0.0,0.0,0.0,0.0,,,0
CHATTANOOGA              ,TN,5,23.8,0.0,0.0,0.0,0.0,,,1
CHEHALIS                 ,WA,1,33.0,0.0,0.0,0.0,0.0,,,1
CHERRY HILL              ,NJ,1,15.0,0.0,0.0,0.0,0.0,,,1
CHESTER                  ,IL,2,36.5,0.0,0.0,0.0,0.0,,,0
CHESTER                  ,PA,3,15.333333333333334,0.0,0.0,0.0,0.0,,,1
CHESTER                  ,VA,1,17.0,0.0,0.0,0.0,0.0,,,1
CHICAGO                  ,IL,42,25.595238095238095,0.0,0.0,0.0,0.0,,,2
CHILOQUIN                ,OR,1,31.0,0.0,0.0,0.0,0.0,,,1
CHINO                    ,CA,1,44.0,0.0,0.0,0.0,0.0,,,0
CHINO HILLS              ,CA,1,16.0,0.0,0.0,0.0,0.0,,,1
CHISHOLM                 ,MN,1,27.0,0.0,0.0,0.0,0.0,,,1
CHOCOWINITY              ,NC,1,37.0,0.0,0.0,0.0,0.0,,,0
CHULA VISTA              ,CA,5,12.6,0.0,0.0,0.0,0.0,,,1
CHULUOTA                 ,FL,1,18.0,0.0,0.0,0.0,0.0,,,1
CHURCH POINT             ,LA,1,17.0,0.0,0.0,0.0,0.0,,,1
CINCINNATI               ,OH,12,16.333333333333332,0.0,0.0,0.0,0.0,,,1
CITRA                    ,FL,1,16.0,0.0,0.0,0.0,0.0,,,1
CITRONELLE               ,AL,2,18.0,0.0,0.0,0.0,0.0,,,1
CITRUS HEIGHTS           ,CA,2,15.5,0.0,0.0,0.0,0.0,,,1
CLAIRTON                 ,PA,1,57.0,0.0,0.0,0.0,0.0,,,0
CLANCY                   ,MT,1,46.0,0.0,0.0,0.0,0.0,,,0
CLARKSTON                ,GA,1,35.0,0.0,0.0,0.0,0.0,,,1
CLARKSVILLE              ,TN,1,17.0,0.0,0.0,0.0,0.0,,,1
CLAYTON                  ,NC,1,15.0,0.0,0.0,0.0,0.0,,,1
CLEARWATER               ,FL,4,20.5,0.0,0.0,0.0,0.0,,,1
CLEMSON                  ,SC,1,47.0,0.0,0.0,0.0,0.0,,,0
CLEVELAND                ,OH,28,16.964285714285715,0.0,0.0,0.0,0.0,,,2
CLEVELAND                ,TX,1,15.0,0.0,0.0,0.0,0.0,,,1
CLEWISTON                ,FL,1,2.0,0.0,0.0,0.0,0.0,,,1
CLIFTON HEIGHTS          ,PA,3,28.666666666666668,0.0,0.0,0.0,0.0,,,1
CLINTON                  ,IA,1,36.0,0.0,0.0,0.0,0.0,,,0
CLINTON                  ,LA,1,26.0,0.0,0.0,0.0,0.0,,,1
CLINTON                  ,MD,1,32.0,0.0,0.0,0.0,0.0,,,1
CLINTON                  ,MO,2,35.5,0.0,0.0,0.0,0.0,,,1
CLINTON                  ,TN,1,16.0,0.0,0.0,0.0,0.0,,,1
CLIO                     ,AL,1,16.0,0.0,0.0,0.0,0.0,,,1
CLIO                     ,MI,1,15.0,0.0,0.0,0.0,0.0,,,1
CLOVIS                   ,CA,1,14.0,0.0,0.0,0.0,0.0,,,1
CLOVIS                   ,NM,1,16.0,0.0,0.0,0.0,0.0,,,1
CLYDE                    ,TX,1,16.0,0.0,0.0,0.0,0.0,,,1
COCOA                    ,FL,1,15.0,0.0,0.0,0.0,0.0,,,1
COCOA BEACH              ,FL,2,60.5,0.0,0.0,0.0,0.0,,,0
COCONUT GROVE            ,FL,1,68.0,0.0,0.0,0.0,0.0,,,0
COFFEE SPRINGS           ,AL,2,16.0,0.0,0.0,0.0,0.0,,,1
COLLEGE PLACE            ,WA,1,16.0,0.0,0.0,0.0,0.0,,,1
COLLEGE STATION          ,TX,1,17.0,0.0,0.0,0.0,0.0,,,1
COLLINS                  ,MO,1,17.0,0.0,0.0,0.0,0.0,,,1
COLORADO SPRINGS         ,CO,6,25.333333333333332,0.0,0.0,0.0,0.0,,,1
COLUMBIA                 ,MO,4,27.25,0.0,0.0,0.0,0.0,,,1
COLUMBIA                 ,SC,8,22.875,0.0,0.0,0.0,0.0,,,1
COLUMBIA                 ,TN,2,27.0,0.0,0.0,0.0,0.0,,,1
COLUMBIA FALLS           ,MT,1,65.0,0.0,0.0,0.0,0.0,,,0
COLUMBUS                 ,GA,2,15.0,0.0,0.0,0.0,0.0,,,1
COLUMBUS                 ,IN,1,17.0,0.0,0.0,0.0,0.0,,,1
COLUMBUS                 ,MS,1,56.0,0.0,0.0,0.0,0.0,,,0
COLUMBUS                 ,OH,14,21.928571428571427,0.0,0.0,0.0,0.0,,,1
COMPTON                  ,CA,5,9.4,0.0,0.0,0.0,0.0,,,1
CONCORD                  ,CA,1,20.0,0.0,0.0,0.0,0.0,,,1
CONCORD                  ,NC,1,17.0,0.0,0.0,0.0,0.0,,,1
CONCORD                  ,NH,2,63.5,0.0,0.0,0.0,0.0,,,0
CONCORD                  ,WI,1,68.0,0.0,0.0,0.0,0.0,,,0
CONNERSVILLE             ,IN,1,57.0,0.0,0.0,0.0,0.0,,,0
CONOVER                  ,NC,1,14.0,0.0,0.0,0.0,0.0,,,1
CONROE                   ,TX,3,17.333333333333332,0.0,0.0,0.0,0.0,,,1
CONWAY                   ,SC,3,20.0,0.0,0.0,0.0,0.0,,,1
CONYERS                  ,GA,1,17.0,0.0,0.0,0.0,0.0,,,1
COOPERSBURG              ,PA,1,61.0,0.0,0.0,0.0,0.0,,,0
COPAN                    ,  ,1,4.0,0.0,0.0,0.0,0.0,,,1
COPPERAS COVE            ,TX,1,57.0,0.0,0.0,0.0,0.0,,,0
CORAL SPRINGS            ,FL,1,16.0,0.0,0.0,0.0,0.0,,,1
CORNELIUS                ,NC,1,13.0,0.0,0.0,0.0,0.0,,,1
CORNELIUS                ,OR,1,62.0,0.0,0.0,0.0,0.0,,,0
CORPUS CHRISTI           ,TX,3,21.666666666666668,0.0,0.0,0.0,0.0,,,1
CORSICANA                ,TX,1,38.0,0.0,0.0,0.0,0.0,,,0
CORVALLIS                ,OR,2,20.0,0.0,0.0,0.0,0.0,,,1
COUPEVILLE               ,WA,1,47.0,0.0,0.0,0.0,0.0,,,0
COVINA                   ,CA,3,12.666666666666666,0.0,0.0,0.0,0.0,,,1
COVINGTON                ,GA,1,17.0,0.0,0.0,0.0,0.0,,,1
COVINGTON                ,KY,2,15.0,0.0,0.0,0.0,0.0,,,1
COVINGTON                ,TN,1,17.0,0.0,0.0,0.0,0.0,,,1
CRAIG                    ,CO,1,60.0,0.0,0.0,0.0,0.0,,,0
CRATER LAKE              ,OR,1,26.0,0.0,0.0,0.0,0.0,,,1
CREOLE                   ,LA,1,47.0,0.0,0.0,0.0,0.0,,,0
CREST HILL               ,IL,1,18.0,0.0,0.0,0.0,0.0,,,1
CRESTVIEW                ,FL,2,29.0,0.0,0.0,0.0,0.0,,,1
CRESWELL                 ,OR,1,67.0,0.0,0.0,0.0,0.0,,,0
CROSS JUNCTION           ,VA,1,16.0,0.0,0.0,0.0,0.0,,,1
CRYSTAL CITY             ,MO,1,16.0,0.0,0.0,0.0,0.0,,,1
CUBERANT LAKE            ,UT,1,32.0,0.0,0.0,0.0,0.0,,,1
CULLMAN                  ,AL,1,18.0,0.0,0.0,0.0,0.0,,,1
CULPEPER                 ,VA,1,19.0,0.0,0.0,0.0,0.0,,,1
CULVER CITY              ,CA,3,13.0,0.0,0.0,0.0,0.0,,,1
